angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
0.0,0.004,-7.998,0.0,-8.0,0.98,0.12,6.572,0.009,0.627,0.627,7464.726,1.0,14.348,7.998,0.031,-0.005,-0.0,-233.425,-6.0,16.239,0.041,0.234,0.006,0.748,-0.004,-0.002
0.0,-0.014,12.009,0.0,12.0,0.967,0.119,6.61,0.009,0.61,0.612,7285.596,1.0,14.168,12.009,-0.013,0.037,-0.001,-179.13,4.011,16.239,0.045,0.195,0.006,0.748,0.014,-0.009
0.0,-0.005,1.001,0.0,1.0,1.0,0.117,6.591,0.009,0.607,0.612,7207.394,1.0,14.286,1.001,0.033,-0.019,-0.0,-78.202,-11.008,16.615,-0.02,0.0,0.08,0.768,0.005,-0.001
0.0,-0.008,3.004,0.0,3.0,0.997,0.116,6.593,0.008,0.602,0.604,7100.603,1.0,14.274,3.004,-0.003,0.003,-0.0,-106.791,2.003,16.69,0.022,0.326,0.021,0.748,0.008,-0.004
0.0,-0.009,5.001,0.0,5.0,0.99,0.118,6.594,0.009,0.604,0.604,7220.416,1.0,14.208,5.001,-0.007,0.001,0.0,119.813,1.997,16.692,0.053,0.31,0.009,0.747,0.009,-0.001
0.0,-10.006,-2.007,-10.0,-2.0,0.941,0.118,6.588,0.009,0.612,0.616,7445.13,1.0,14.288,10.205,-0.049,-0.007,0.0,224.714,5.204,16.715,0.055,0.363,0.015,0.751,0.006,0.007
0.0,-9.995,-5.002,-10.0,-5.0,0.935,0.118,6.583,0.009,0.604,0.604,7516.678,1.0,14.151,11.177,-0.005,-0.004,0.0,71.548,0.972,16.506,0.046,0.278,0.008,0.748,-0.005,0.002
0.0,-10.002,-9.011,-10.0,-9.0,0.925,0.121,6.581,0.009,0.613,0.616,7938.839,1.0,14.074,13.462,-0.01,-0.002,0.0,422.161,2.286,16.138,0.029,0.202,0.005,0.747,0.002,0.011
0.0,-10.005,2.999,-10.0,3.0,0.942,0.117,6.593,0.009,0.598,0.6,7299.264,1.0,14.133,10.444,0.017,0.012,-0.001,-639.575,-3.018,16.541,0.031,0.293,0.009,0.749,0.005,0.001
0.0,-10.997,-3.002,-11.0,-3.0,0.936,0.118,6.587,0.009,0.589,0.588,7385.654,1.0,13.994,11.4,-0.006,-0.007,0.0,86.39,0.955,16.514,0.037,0.311,0.012,0.747,-0.003,0.002
